0,1,2,3,4,5,6,7,8,9,10
963.0,387.0,928.0,964.0,937.0,1012.0,891.0,933.0,1057.0,1222.0,771.0
387.0,928.0,964.0,937.0,1012.0,891.0,933.0,1057.0,1222.0,771.0,1012.0
928.0,964.0,937.0,1012.0,891.0,933.0,1057.0,1222.0,771.0,1012.0,1024.0
964.0,937.0,1012.0,891.0,933.0,1057.0,1222.0,771.0,1012.0,1024.0,606.0
937.0,1012.0,891.0,933.0,1057.0,1222.0,771.0,1012.0,1024.0,606.0,1020.0
1012.0,891.0,933.0,1057.0,1222.0,771.0,1012.0,1024.0,606.0,1020.0,1060.0
891.0,933.0,1057.0,1222.0,771.0,1012.0,1024.0,606.0,1020.0,1060.0,1084.0
933.0,1057.0,1222.0,771.0,1012.0,1024.0,606.0,1020.0,1060.0,1084.0,997.0
1057.0,1222.0,771.0,1012.0,1024.0,606.0,1020.0,1060.0,1084.0,997.0,1003.0
1222.0,771.0,1012.0,1024.0,606.0,1020.0,1060.0,1084.0,997.0,1003.0,1105.0
771.0,1012.0,1024.0,606.0,1020.0,1060.0,1084.0,997.0,1003.0,1105.0,962.0
1012.0,1024.0,606.0,1020.0,1060.0,1084.0,997.0,1003.0,1105.0,962.0,1119.0
1024.0,606.0,1020.0,1060.0,1084.0,997.0,1003.0,1105.0,962.0,1119.0,944.0
606.0,1020.0,1060.0,1084.0,997.0,1003.0,1105.0,962.0,1119.0,944.0,784.0
1020.0,1060.0,1084.0,997.0,1003.0,1105.0,962.0,1119.0,944.0,784.0,1047.0
1060.0,1084.0,997.0,1003.0,1105.0,962.0,1119.0,944.0,784.0,1047.0,910.0
1084.0,997.0,1003.0,1105.0,962.0,1119.0,944.0,784.0,1047.0,910.0,948.0
997.0,1003.0,1105.0,962.0,1119.0,944.0,784.0,1047.0,910.0,948.0,887.0
1003.0,1105.0,962.0,1119.0,944.0,784.0,1047.0,910.0,948.0,887.0,1052.0
1105.0,962.0,1119.0,944.0,784.0,1047.0,910.0,948.0,887.0,1052.0,1131.0
962.0,1119.0,944.0,784.0,1047.0,910.0,948.0,887.0,1052.0,1131.0,1335.0
